/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
TARA_20160831T0157Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017736,TARA_EVENT_20160831T0157Z_OA042-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA042-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,ED-43,analysis date/time=2017-05-04T16:16,[2] good,1000,[2] good,2367.4,2372.1348,[2] good,2072,2076.144,[2] good,10.4325,0.1303,0.1303,383.5181884,382.2349006,1855.996087,208.1905709,11.95734165,5.021508028,0.006833852,4.938439309,3.223893831,8.068464189,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160831T0157Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017737,TARA_EVENT_20160831T0157Z_OA042-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA042-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,ED-44,analysis date/time=2017-05-04T16:37,[2] good,1000,[2] good,2309,2313.618,[2] good,2092.4,2096.5848,[2] good,10.4325,0.1303,0.1303,545.2780201,543.4534687,1922.476566,157.1075392,17.00069457,3.658357416,0.009380232,3.726710792,2.432857666,7.930916161,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160831T0157Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017738,TARA_EVENT_20160831T0157Z_OA042-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA042-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R03,TR1,ED-45,analysis date/time=2017-06-04T07:47,[2] good,1000,[3] questionable,2386.3,2391.0726,[3] questionable,2111.4,2115.6228,[3] questionable,10.4325,0.1303,0.1303,430.0100604,428.5712064,1906.327304,195.8886298,13.40686664,4.600043324,0.007459982,4.646627874,3.03339456,8.03039195,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160903T1525Z_D_C-COL_SCUBA-CORER,TARA_G200000074,TARA_EVENT_20160903T1525Z_OA000-I04-S01_D_C-COL_SCUBA-CORER,13.8,13.8,13.8,OA000-I04-S01-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-02,analysis date/time=2017-06-04T11:23,[2] good,1000,[2] good,2361.4,2366.1228,[2] good,2077.3,2081.4546,[2] good,23.9325,0.1328,0.1328,394.6246567,393.2995324,1868.027974,201.0052039,12.42142221,4.751758952,0.007021443,4.768936346,3.109978738,8.057870953,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160903T2124Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017847,TARA_EVENT_20160903T2124Z_OA000-I04-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I04-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R01,TR1,ED-46,analysis date/time=2017-05-04T15:55,[2] good,1000,[2] good,2335.5,2340.171,[2] good,2052.3,2056.4046,[2] good,13.1325,0.1328,0.1328,389.0655872,387.7598713,1844.690763,199.4861767,12.22766035,4.785630044,0.006997996,4.739061466,3.090717135,8.059084958,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160903T2124Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017848,TARA_EVENT_20160903T2124Z_OA000-I04-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I04-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R02,TR1,ED-47,analysis date/time=2017-06-04T08:07,[2] good,1000,[2] good,2367.4,2372.1348,[2] good,2082.3,2086.4646,[2] good,13.1325,0.1328,0.1328,396.0619843,394.7327883,1872.172498,201.8445573,12.44754504,4.771128027,0.007019267,4.795087956,3.127256444,8.057766906,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160903T2124Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017849,TARA_EVENT_20160903T2124Z_OA000-I04-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I04-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R03,TR1,ED-48,analysis date/time=2017-05-04T15:35,[2] good,1000,[3] questionable,2344,2348.688,[3] questionable,2053.1,2057.2062,[3] questionable,13.1325,0.1328,0.1328,377.5646037,376.2974855,1840.671968,204.6680275,11.86620428,4.920661541,0.006805959,4.862163274,3.171001569,8.07116933,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160907T1436Z_D_C-COL_SCUBA-CORER,TARA_G200000015,TARA_EVENT_20160907T1436Z_OA000-I04-S04_D_C-COL_SCUBA-CORER,8.3,8.3,8.3,OA000-I04-S04-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-08,analysis date/time=2017-05-04T13:35,[2] good,1000,[2] good,2361.5,2366.223,[2] good,2072,2076.144,[2] good,18.4325,0.1398,0.1398,389.2353249,387.9292542,1859.86864,204.0672459,12.2081144,4.849827558,0.006946602,4.832281929,3.153088086,8.06197671,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160908T0406Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017615,TARA_EVENT_20160908T0406Z_OA044-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA044-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,ED-49,analysis date/time=2017-07-03T14:53,[2] good,1000,[3] questionable,1852.5,1856.205,[3] questionable,1602.1,1605.3042,[4] bad,10.4325,0.1298,0.1298,290.562441,289.5855998,1435.37964,160.757682,9.166878186,4.917395493,0.00672629,3.819961307,2.49029139,8.076637986,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160908T0406Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017616,TARA_EVENT_20160908T0406Z_OA044-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA044-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,ED-50,analysis date/time=2017-05-04T14:34,[2] good,1000,[2] good,2363.3,2368.0266,[2] good,2072.5,2076.645,[2] good,10.4325,0.1298,0.1298,387.4288401,386.128831,1859.509804,204.9837405,12.15145518,4.87222689,0.00690973,4.859974731,3.170867213,8.06424022,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160908T0406Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017617,TARA_EVENT_20160908T0406Z_OA044-I04-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA044-I04-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R03,TR1,ED-51,analysis date/time=2017-05-04T15:14,[2] good,1000,[3] questionable,2368.2,2372.9364,[3] questionable,2067,2071.134,[3] questionable,10.4325,0.1298,0.1298,370.2934875,369.0509758,1847.753824,211.7661596,11.61401592,5.065461443,0.006646141,5.02077961,3.275783585,8.08113173,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160912T1456Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017625,TARA_EVENT_20160912T1456Z_OA048-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA048-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,ED-52,analysis date/time=2017-05-04T13:31,[2] good,1000,[2] good,2337,2341.674,[2] good,2034.8,2038.8696,[2] good,10.4325,0.1213,0.1213,369.685615,368.4579452,1815.744307,211.7807452,11.34454811,5.404915579,0.006682694,5.031570204,3.289704803,8.076644472,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160912T1456Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017626,TARA_EVENT_20160912T1456Z_OA048-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA048-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,ED-53,analysis date/time=2017-05-04T13:52,[2] good,1000,[3] questionable,2355.6,2360.3112,[3] questionable,2042.2,2046.2844,[3] questionable,10.4325,0.1213,0.1213,356.4867851,355.3029466,1815.72716,219.6177241,10.93951542,5.604978235,0.006444163,5.21776423,3.411440832,8.092429487,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160912T1456Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017627,TARA_EVENT_20160912T1456Z_OA048-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA048-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R03,TR1,ED-54,analysis date/time=2017-05-04T14:13,[2] good,1000,[2] good,2351.9,2356.6038,[2] good,2043.8,2047.8876,[2] good,10.4325,0.1213,0.1213,364.2447162,363.0351149,1820.611838,216.0981784,11.17758317,5.500356991,0.006566737,5.13414548,3.356769827,8.084246434,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160914T2212Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017729,TARA_EVENT_20160914T2212Z_OA000-I05-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I05-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R01,TR1,AT-19,analysis date/time=2017-06-04T15:13,[2] good,1000,[3] questionable,2351.5,2356.203,[3] questionable,2055.5,2059.611,[3] questionable,13.1325,0.1643,0.1643,389.2449293,387.9576969,1839.078194,208.6853118,11.84749412,5.362466673,0.006920008,4.96435275,3.248201008,8.060751336,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160914T2212Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017730,TARA_EVENT_20160914T2212Z_OA000-I05-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I05-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R02,TR1,AT-20,analysis date/time=2017-06-04T14:54,[2] good,1000,[2] good,2352,2356.704,[2] good,2057.7,2061.8154,[2] good,13.1325,0.1643,0.1643,392.5813893,391.2831232,1842.242073,207.624281,11.94904634,5.326039263,0.006967338,4.939112205,3.231685991,8.057791093,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160914T2212Z_D_S-SRF_ZODIAC-PUMP,TARA_G100017731,TARA_EVENT_20160914T2212Z_OA000-I05-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I05-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,R03,TR1,AT-21,analysis date/time=2017-06-04T13:17,[2] good,1000,[2] good,2358.9,2363.6178,[2] good,2063.7,2067.8274,[2] good,13.1325,0.1643,0.1643,393.2180287,391.9176572,1847.406927,208.4520496,11.96842381,5.332323888,0.006959126,4.958803747,3.244570267,8.058303251,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160917T2135Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017710,TARA_EVENT_20160917T2135Z_OA050-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA050-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,AT-22,analysis date/time=2017-06-04T11:43,[2] good,1000,[3] questionable,2384.6,2389.3692,[3] questionable,2061.9,2066.0238,[3] questionable,10.4325,0.1303,0.1303,360.8254144,359.6369547,1828.297558,226.8535236,10.87271887,5.959745983,0.006424538,5.389688395,3.530834249,8.091839621,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160917T2135Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017711,TARA_EVENT_20160917T2135Z_OA050-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA050-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,AT-23,analysis date/time=2017-06-04T10:26,[2] good,1000,[2] good,2379.6,2384.3592,[2] good,2063,2067.126,[2] good,10.4325,0.1303,0.1303,369.4559524,368.239066,1833.239635,222.7535831,11.13278208,5.836259042,0.006560472,5.292280158,3.467021221,8.082746431,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160917T2135Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100017712,TARA_EVENT_20160917T2135Z_OA050-I05-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA050-I05-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R03,TR1,AT-24,analysis date/time=2017-06-04T10:46,[2] good,1000,[2] good,2383,2387.766,[2] good,2065.4,2069.5308,[2] good,10.4325,0.1303,0.1303,368.8455641,367.6306882,1834.891842,223.5245684,11.1143893,5.851185875,0.006543736,5.310597576,3.479021129,8.083855766,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160921T0519Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017345,TARA_EVENT_20160921T0519Z_OA054-I06-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA054-I06-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,AT-25,analysis date/time=2017-06-04T12:01,[2] good,1000,[3] questionable,2378.1,2382.8562,[3] questionable,2055.4,2059.5108,[3] questionable,10.4325,0.1418,0.1418,366.5737259,365.374178,1821.795354,226.8224547,10.89299157,6.155233015,0.006507262,5.392536797,3.538016279,8.084818949,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160921T0519Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017346,TARA_EVENT_20160921T0519Z_OA054-I06-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA054-I06-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,AT-26,analysis date/time=2017-06-04T12:58,[2] good,1000,[3] questionable,2383.8,2388.5676,[3] questionable,2057.4,2061.5148,[3] questionable,10.4325,0.1418,0.1418,362.2433597,361.0579822,1821.333017,229.4174708,10.76431175,6.227233771,0.006432023,5.454231394,3.578493794,8.08986962,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160921T0519Z_N_I-SRF_DOLPHIN-CARBOY,TARA_G100017347,TARA_EVENT_20160921T0519Z_OA054-I06-S00_N_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA054-I06-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R03,TR1,AT-27,analysis date/time=2017-06-04T14:35,[2] good,1000,[3] questionable,2369.3,2374.0386,[3] questionable,2036.3,2040.3726,[3] questionable,10.4325,0.1418,0.1418,347.0891886,345.9534004,1796.983754,233.0748509,10.31399508,6.412233176,0.006246453,5.541182912,3.635542248,8.102583757,,,,,,,,,,,,,,,,,,,,,,,
TARA_20160923T1734Z_D_C-COL_SCUBA-CORER,TARA_G200000075,TARA_EVENT_20160923T1734Z_OA000-I06-S02_D_C-COL_SCUBA-CORER,9.8,9.8,9.8,OA000-I06-S02-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-18,analysis date/time=2017-06-04T13:56,[2] good,1000,[3] questionable,2348.7,2353.3974,[3] questionable,2041.6,2045.6832,[3] questionable,19.9325,0.1263,0.1263,381.991461,380.7405292,1818.494003,215.8138132,11.37538432,5.851842775,0.006805374,5.127425723,3.363404963,8.065699532,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161001T1627Z_D_O-SRF_DOLPHIN-CARBOY,TARA_G100018588,TARA_EVENT_20161001T1627Z_OA058-I00-S00_D_O-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA058-I00-S00-C000,not-available,[O-SRF] marine surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) part of an open ocean environment (ENVO:00000015),BGC-CARB,R01,TR1,AT-28,analysis date/time=2017-06-04T14:14,[2] good,1000,[3] questionable,2389.9,2394.6798,[3] questionable,2032.3,2036.3646,[3] questionable,10.4325,0.1668,0.1668,370.8310373,369.6725159,1775.33284,251.0295898,10.00217054,8.54449503,0.006441686,5.994250359,3.979063582,8.078047957,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161001T1627Z_D_O-SRF_DOLPHIN-CARBOY,TARA_G100018589,TARA_EVENT_20161001T1627Z_OA058-I00-S00_D_O-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA058-I00-S00-C000,not-available,[O-SRF] marine surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) part of an open ocean environment (ENVO:00000015),BGC-CARB,R02,TR1,AT-29,analysis date/time=2017-06-04T13:36,[2] good,1000,[2] good,2389.2,2393.9784,[2] good,2035.8,2039.8716,[2] good,10.4325,0.1668,0.1668,377.4755005,376.296221,1781.392871,248.2973415,10.18138707,8.422744587,0.0065348,5.929007929,3.935754784,8.071815187,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161001T1627Z_D_O-SRF_DOLPHIN-CARBOY,TARA_G100018590,TARA_EVENT_20161001T1627Z_OA058-I00-S00_D_O-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA058-I00-S00-C000,not-available,[O-SRF] marine surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) part of an open ocean environment (ENVO:00000015),BGC-CARB,R03,TR1,AT-30,analysis date/time=2017-06-04T12:20,[2] good,1000,[2] good,2388.2,2392.9764,[2] good,2037.6,2041.6752,[2] good,10.4325,0.1668,0.1668,381.8059428,380.6131344,1784.922192,246.4548186,10.29818911,8.343711829,0.006596698,5.885010951,3.906549001,8.067720852,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161106T1906Z_D_C-CSW-C010_SCUBA-PUMP,TARA_G100018691,TARA_EVENT_20161106T1906Z_OA000-I07-S01_D_C-CSW-C010_SCUBA-PUMP,11.4,11.4,11.4,OA000-I07-S01-C010,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-35,analysis date/time=2017-07-03T15:50,[2] good,200,[2] good,2352.2,2353.14088,[2] good,2013.7,2014.50548,[2] good,21.5325,0.1982,0.1982,421.4587646,420.1737237,1766.210975,237.4584519,10.83605325,9.012743767,0.007182427,5.686403814,3.799788874,8.024739374,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161107T0110Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018692,TARA_EVENT_20161107T0110Z_OA000-I07-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I07-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-34,analysis date/time=2017-07-03T14:34,[2] good,200,[2] good,2364.2,2365.14568,[2] good,2025.1,2025.91004,[2] good,13.1325,0.1862,0.1862,425.2684658,423.9720875,1776.614659,238.3663612,10.92902012,9.00159159,0.007197009,5.714379187,3.818392255,8.02373644,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161107T2012Z_D_S-SRF_ZODIAC-PUMP,TARA_G100018695,TARA_EVENT_20161107T2012Z_OA000-I07-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I07-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-36,analysis date/time=2017-07-03T14:54,[2] good,200,[2] good,2369.8,2370.74792,[2] good,2022.3,2023.10892,[2] good,13.1325,0.1892,0.1892,402.5755416,401.3406278,1768.754466,243.8770136,10.47744084,9.012413983,0.006888654,5.844307659,3.898053571,8.044464081,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161108T0232Z_D_C-COL_SCUBA-CORER,TARA_G100018560,TARA_EVENT_20161108T0232Z_OA000-I07-S04_D_C-COL_SCUBA-CORER,4,4,4,OA000-I07-S04-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-11,analysis date/time=2017-07-03T16:25,[2] good,200,[2] good,2363.5,2364.4454,[2] good,2020.2,2021.00808,[2] good,14.1325,0.157462493,0.157462493,408.5295809,407.2764686,1769.509086,240.8711004,10.62789345,8.896763436,0.006987751,5.76825944,3.847769585,8.03817773,,,,,,,,,,,,,,,,,,,,,,,
TARA_20161108T1925Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100018696,TARA_EVENT_20161108T1925Z_OA000-I07-S03_D_C-CSW-C001_SCUBA-PUMP,10.2,10.2,10.2,OA000-I07-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-281,analysis date/time=2017-07-03T16:08,[2] good,200,[2] good,2375.1,2376.05004,[2] good,2033.8,2034.61352,[2] good,20.3325,0.1907,0.1907,416.3438057,415.0666326,1783.739762,240.0406578,10.8331004,8.793337504,0.007069687,5.743871647,3.831653485,8.033183964,,,,,,,,,,,,,,,,,,,,,,,
